"outcome","k","n_total","pooled_hr","ci_low","ci_high","tau2","I2_percent","Q","Q_df","Q_p","prediction_interval_low","prediction_interval_high","test","tau2_estimator","prediction_interval"
"PFS",6,315,0.314468450757553,0.207359662216988,0.476902814484588,0.00926303920681926,5.54823816271123,5.29692483741181,5,0.380727675276026,0.186366368859996,0.530623669532054,"Modified Knapp-Hartung (metafor test='adhoc')","REML","Riley-type"
"OS",5,293,0.217757642293032,0.126954554207622,0.373506811732581,0,0,0.522663078574364,4,0.971257554598923,0.117322898717433,0.404169955698291,"Modified Knapp-Hartung (metafor test='adhoc')","REML","Riley-type"
